LCSC Part Number,Manufacturer,Package,Description,Order Qty.,Unit Price($),Component Type,Component Branch,Capacitance,Resistance,Voltage,Tolerance,Inductance,Current/Power
C25079,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 120Ω 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,Resistor,Chip Resistor - Surface Mount,,120Ohm,50V,±1%,,
C368809,Samsung Electro-Mechanics,0402,10V 4.7uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,100,0.0059,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,4.7u,,10V,±10%,,
C25168,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±5% 47Ω 0402 Chip Resistor - Surface Mount ROHS,100,0.0005,Resistor,Chip Resistor - Surface Mount,,47Ohm,50V,±5%,,
C307331,Samsung Electro-Mechanics,0402,50V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,350,0.0044,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,100n,,50V,±10%,,
C23186,UNI-ROYAL(Uniroyal Elec),0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 5.1kΩ 0603 Chip Resistor - Surface Mount ROHS,100,0.001,Resistor,Chip Resistor - Surface Mount,,5.1kOhm,75V,±1%,,
C4747971,KNSCHA,"SMD,D5xL5.4mm","10uF 50V 24mA@120Hz ±20% SMD,D5xL5.4mm Aluminum Electrolytic Capacitors - SMD ROHS",40,0.0244,Capacitor,Aluminum Electrolytic Capacitor - SMD,10u,,50V,±20%,,
C14860,Samsung Electro-Mechanics,1206,25V 10uF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,20,0.0229,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,10u,,25V,±10%,,
C22935,UNI-ROYAL(Uniroyal Elec),0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 1MΩ 0603 Chip Resistor - Surface Mount ROHS,100,0.001,Resistor,Chip Resistor - Surface Mount,,1MOhm,75V,±1%,,
C25741,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 100kΩ 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,Resistor,Chip Resistor - Surface Mount,,100kOhm,50V,±1%,,
C25744,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,200,0.0005,Resistor,Chip Resistor - Surface Mount,,10kOhm,50V,±1%,,
