LCSC Part Number,Manufacturer,Package,Description,Order Qty.,Unit Price($),Component Type,Component Branch,Capacitance,Resistance,Voltage,Tolerance,Inductance,Current/Power
C17506,UNI-ROYAL(Uniroyal Elec),0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 18kΩ 0805 Chip Resistor - Surface Mount ROHS,100,0.0018,Resistor,Chip Resistor - Surface Mount,,18kOhm,150V,±1%,,
C17513,UNI-ROYAL(Uniroyal Elec),0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 1kΩ 0805 Chip Resistor - Surface Mount ROHS,100,0.0016,Resistor,Chip Resistor - Surface Mount,,1kOhm,150V,±1%,,
C241854,Shenzhen Sunmoon Micro,ESOP-8,ESOP-8 LED Drivers ROHS,5,0.0803,,,,,,,,
C136191,Shenzhen Sunmoon Micro,SOIC-8,SOIC-8 AC-DC Controllers and Regulators ROHS,5,0.2393,,,,,,,,
C15849,Samsung Electro-Mechanics,0603,50V 1uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,100,0.0037,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,1u,,50V,±10%,,
C13879,Nanjing Shiheng Elec,"Plugin,P=1.7mm","10kΩ 50mW ±1% 3950K ±1% Plugin,P=1.7mm NTC Thermistors ROHS",10,0.0353,,,,,,,,
C2914012,XKB Connection,Plugin,Plugin Vibration Sensors ROHS,10,0.0521,,,,,,,,
C78180,RONGHE Microelectronics,SOT-23-6,Capacitive touch No 1 SOT-23-6 Touch Sensors ROHS,5,0.0847,,,,,,,,
C968211,Yangzhou Yangjie Elec Tech,SOD-523(SC-79),Independent Type 8.5V~9.6V 150mW 9.1V SOD-523(SC-79) Zener Diodes ROHS,50,0.018,Diode,Zener Diode,,,8.5V,,,150mW
C209629,ROHM Semicon,SOD-523,Independent Type 11.74V~12.24V 150mW 12V SOD-523 Zener Diodes ROHS,20,0.0256,Diode,Zener Diode,,,11.74V,,,150mW
C53892,"Jiangsu Changjing Electronics Technology Co., Ltd.",SOD-523,Independent Type 10.4V~11.6V 150mW 11V SOD-523 Zener Diodes ROHS,10,0.0364,Diode,Zener Diode,,,10.4V,,,150mW
C383211,LRC,SOD-523,9.4A 18.6V 5.6V Bidirectional 5V SOD-523 ESD and Surge Protection (TVS/ESD) ROHS,50,0.0184,,,,,,,,
C341750,Texas Instruments,SOT-23-5,Boost type Adjustable 5V~28V 800mA 2.7V~14V SOT-23-5 DC-DC Converters ROHS,1,0.4912,,,,,,,,
C85100,Diodes Incorporated,SMC(DO-214AB),60V 700mV@5A 5A SMC(DO-214AB) Schottky Diodes ROHS,5,0.1228,Diode,Schottky Diode,,,60V,,,5A
C319099,XKB Connection,Plugin,Panel Mounting DC Power Receptacle -20℃~+70℃ 2mm 6.2mm Plugin DC Power Connectors ROHS,5,0.0813,,,,,,,,
C2983064,PROD Tech,"SMD,12x12mm","4.5A 18uH ±20% 4.5A SMD,12x12mm Power Inductors ROHS",1,0.2037,Inductor,Power Inductor,,,,±20%,18u,4.5A
C43276,Texas Instruments,HTSSOP-14-EP,Boost type Fixed 38V 2.9V~18V 3A HTSSOP-14-EP DC-DC Converters ROHS,1,0.9425,,,,,,,,
C130723,Foshan NationStar Optoelectronics,0402,20mA Colorless Transparent Lens 100mcd~270mcd 515nm~530nm -30℃~+85℃ Emerald 130° 72mW 2.6V~3.6V 0402 LED Indication - Discrete ROHS,20,0.0368,,,,,,,,
C964632,SKYWORKS/SILICON LABS,QFN-28-EP(5x5),USB to UART UART QFN-28-EP(5x5) USB Converters ROHS,2,1.9574,,,,,,,,
C477918,Texas Instruments,SOT-23-5,Step-down type Fixed 3.3V 600mA 2.7V~5.5V SOT-23-5 DC-DC Converters ROHS,1,1.1257,,,,,,,,
C504893,Vishay Intertech,SMD-4P,SMD-4P Ambient Light Sensors ROHS,3,1.0036,,,,,,,,
C701341,Espressif Systems,"SMD,18x25.5mm","SMD,18x25.5mm WiFi Modules ROHS",2,3.9747,,,,,,,,
C129558,Littelfuse,Plugin,710V 369V 275V 430V Plugin Varistors ROHS,20,0.0811,,,,,,,,
C5187543,Ai-Thinker,SMD-18P,-98dBm 16dBm BL602 chip 2.4GHz SMD-18P WiFi Modules ROHS,1,1.6531,,,,,,,,
